"","orig.ident","nCount_RNA","nFeature_RNA","name","sample","NT5E_log2","TNC_log2","injection","COL1A1_log2","COL1A2_log2","BGN_log2","SPARC_log2","NT5E_count1","EMT1","ECM_go1","kinsey_up1","kinsey_dn1","IC_EWS_781"
"ROI1","SeuratProject",3787640.54999999,13389,"ROI1","subq",4.974529312,560.65,"subcutaneous",43.58,793.19,75.33,244.99,-31.4985,-51.4935345622349,-102.570042648374,114.572813937313,-30.5187938248033,191.351912051704
"ROI2","SeuratProject",3460323.74999999,13389,"ROI2","subq",4.831877241,495.3,"subcutaneous",155.08,1840.37,712.1,867.18,-34.7223,10.4203701439562,-37.8508868774224,102.935314215417,-5.83042547109778,261.2870551623
"ROI3","SeuratProject",3756148.76,13389,"ROI3","subq",5.055282436,194.78,"subcutaneous",48.62,732.07,76.22,278.84,-32.7712,-70.2301515714819,-105.227710438414,105.040186886476,-44.9588626432384,187.928542462479
"ROI4","SeuratProject",3705031.66000001,13389,"ROI4","subq",4.968090752,1290.15,"subcutaneous",58.57,427.13,74.72,258.16,-32.7595,-66.950372183862,-97.3736767670748,107.216070246843,-37.7802636554608,123.612862827452
"ROI5","SeuratProject",3625564.40999999,13389,"ROI5","tv1",6.366322214,659.38,"tailvein",96.91,756.3,148.64,157.15,-19.5899,-41.3261979602279,-22.9492742320321,166.529827782084,-23.7920778902467,15.3094870829345
"ROI6","SeuratProject",3583068.51,13389,"ROI6","tv1",6.536674618,920.98,"tailvein",109.72,1472.72,138.2,174.07,-12.9948,-17.3799430537618,1.06731881896917,156.749856359723,-20.573279469058,-28.0694253489512
"ROI7","SeuratProject",3618371.23,13389,"ROI7","tv1",6.34536089,578.66,"tailvein",101.17,815.04,128.59,167.36,-23.9272,-39.4580728956577,-21.0888038771267,171.014421576789,-25.2324608798074,-11.1598923547625
"ROI8","SeuratProject",3592093.14999985,13389,"ROI8","tv1",6.53838296,1065.9,"tailvein",127.43,1404.7,149.92,190.39,-11.2260000000001,-13.3074574696328,6.34999582464883,158.813043700397,-18.8184468678369,-31.0548923728497
"ROI9","SeuratProject",3618083.89,13389,"ROI9","tv2",7.03848008,692.38,"tailvein",153.37,372.48,306.75,175.29,16.3414,-31.2118059340186,-4.67028270205867,161.084623063453,-9.46639456328134,-77.0253543458208
"ROI10","SeuratProject",3083158.57000002,13389,"ROI10","tv2",8.254320035,471.69,"tailvein",170.9,243.82,168.62,182.3,140.0984,-9.99205747398051,-4.90500035788955,50.7623589125792,0.645145378148925,-32.1432511179092
"ROI11","SeuratProject",3614497.13,13389,"ROI11","tv2",6.255878353,489.09,"tailvein",93.09,571.07,151.45,137.56,-30.944,-39.0938522543248,-14.9870821950491,135.47437635335,-3.70134400305699,71.9543500914231
"ROI12","SeuratProject",3631630.94,13389,"ROI12","tv2",7.144964082,594.45,"tailvein",94.83,668.04,154.27,138.7,42.6681000000001,-30.1376467201317,-8.06100691917595,137.966517390319,-3.91578633817306,96.2054750982123
